title,studio,domestic_gross,foreign_gross,year,total_gross
cowboys & aliens,Uni.,100200000,74600000,2011,174800000
in time,Fox,37500000,136400000,2011,173900000
zookeeper,Sony,80400000,89500000,2011,169900000
the muppets,BV,88600000,76600000,2011,165200000
limitless,Rela.,79200000,82600000,2011,161800000
johnny english reborn,Uni.,8300000,151800000,2011,160100000
final destination 5,WB (NL),42600000,115300000,2011,157900000
tower heist,Uni.,78000000,74900000,2011,152900000
midnight in paris,SPC,56800000,94300000,2011,151100000
happy feet two,WB,64000000,86400000,2011,150400000
i am number four,BV,55100000,94800000,2011,149900000
jack and jill,Sony,74200000,75500000,2011,149700000
friends with benefits,SGem,55800000,93700000,2011,149500000
no strings attached,Par.,70700000,78600000,2011,149300000
arthur christmas,Sony,46500000,101000000,2011,147500000
source code,Sum.,54700000,92600000,2011,147300000
"crazy, stupid, love.",WB,84400000,58500000,2011,142900000
new year's eve,WB (NL),54500000,87500000,2011,142000000
contagion,WB,75700000,59800000,2011,135500000
the artist,Wein.,44700000,88800000,2011,133500000
the three musketeers (2011),Sum.,20400000,111900000,2011,132300000
unknown,WB,63700000,67099999,2011,130799999
the adjustment bureau,Uni.,62500000,65400000,2011,127900000
we bought a zoo,Fox,75600000,44500000,2011,120100000
water for elephants,Fox,58700000,58400000,2011,117100000
the iron lady,Wein.,30000000,84900000,2011,114900000
moneyball,Sony,75600000,34600000,2011,110200000
sanctum,Uni.,23200000,85400000,2011,108600000
justin bieber: never say never,Par.,73000000,26000000,2011,99000000
paul,Uni.,37400000,60600000,2011,98000000
scream 4,W/Dim.,38200000,59000000,2011,97200000
insidious,FD,54000000,43000000,2011,97000000
the rite,WB (NL),33000000,63000000,2011,96000000
dolphin tale,WB,72300000,23100000,2011,95400000
season of the witch,Rela.,24800000,66800000,2011,91600000
sucker punch,WB,36400000,53400000,2011,89800000
red riding hood,WB,37700000,51500000,2011,89200000
spy kids: all the time in the world,W/Dim.,38500000,47000000,2011,85500000
j. edgar,WB,37300000,47600000,2011,84900000
hall pass,WB (NL),45100000,38100000,2011,83200000
"big mommas: like father, like son",Fox,37900000,44800000,2011,82700000
abduction,LGF,28100000,54000000,2011,82100000
"tinker, tailor, soldier, spy",Focus,24100000,56500000,2011,80600000
priest,SGem,29100000,49200000,2011,78300000
drive (2011),FD,35100000,41100000,2011,76200000
the mechanic,CBS,29100000,47000000,2011,76100000
the ides of march,Sony,41000000,35000000,2011,76000000
the change-up,Uni.,37100000,38400000,2011,75500000
the lincoln lawyer,LGF,58000000,17000000,2011,75000000
diary of a wimpy kid: rodrick rules,Fox,52700000,19700000,2011,72400000
larry crowne,Uni.,35600000,36400000,2011,72000000
the dilemma,Uni.,48500000,21200000,2011,69700000
the darkest hour,Sum.,21400000,43200000,2011,64600000
hanna,Focus,40300000,23500000,2011,63800000
footloose (2011),Par.,51800000,11700000,2011,63500000
elite squad: the enemy within,Vari.,100000,62900000,2011,63000000
colombiana,TriS,36700000,24300000,2011,61000000
something borrowed,WB,39000000,21100000,2011,60100000
one day,Focus,13800000,45500000,2011,59300000
beginning of the great revival,CL,151000,58200000,2011,58351000
killer elite,ORF,25100000,31300000,2011,56400000
extremely loud & incredibly close,WB,31800000,23400000,2011,55200000
the tree of life,FoxS,13300000,41000000,2011,54300000
tyler perry's madea's big happy family,LGF,53300000,816000,2011,54116000
detective dee and the mystery of the phantom flame,IM,460000,51300000,2011,51760000
winnie the pooh,BV,26700000,23200000,2011,49900000
conan the barbarian (2011),LGF,21300000,27500000,2011,48800000
soul surfer,TriS,43900000,3200000,2011,47100000
war of the arrows,CJ,251000,45800000,2011,46051000
arthur (2011),WB,33000000,12700000,2011,45700000
the debt,Focus,31200000,14500000,2011,45700000
beastly,CBS,27900000,15300000,2011,43200000
of gods and men,SPC,4000000,38200000,2011,42200000
born to be wild (imax),WB,25900000,15600000,2011,41500000
evangelion 2.0: you can (not) advance,Elev.,134000,41000000,2011,41134000
fright night (2011),BV,18300000,22700000,2011,41000000
30 minutes or less,Sony,37100000,3500000,2011,40600000
the roommate,SGem,37300000,3200000,2011,40500000
shark night 3d,Rela.,18900000,21300000,2011,40200000
monte carlo,Fox,23200000,16500000,2011,39700000
50/50,Sum.,35000000,4200000,2011,39200000
mars needs moms,BV,21400000,17600000,2011,39000000
dream house,Uni.,21300000,17200000,2011,38500000
jumping the broom,TriS,37300000,415000,2011,37715000
don't be afraid of the dark,FD,24000000,12900000,2011,36900000
ra one,Eros,2500000,33400000,2011,35900000
a very harold & kumar 3d christmas,WB,35100000,326000,2011,35426000
my week with marilyn,Wein.,14600000,20500000,2011,35100000
the sitter,Fox,30400000,4500000,2011,34900000
jane eyre,Focus,11200000,23500000,2011,34700000
courageous,TriS,34500000,0,2011,34500000
shaolin,Vari.,66100,33600000,2011,33666100
african cats,BV,15400000,15400000,2011,30800000
the skin i live in,SPC,3200000,27700000,2011,30900000
i don't know how she does it,Wein.,9700000,20900000,2011,30600000
what's your number?,Fox,14000000,16399999,2011,30399999
drive angry,Sum.,10700000,18200000,2011,28900000
carnage (2011),SPC,2500000,25100000,2011,27600000
a dangerous method,SPC,5700000,21800000,2011,27500000
the thing (2011),Uni.,16900000,10500000,2011,27400000
the eagle,Focus,19500000,7600000,2011,27100000
legend of the fist: the return of chen zhen,Vari.,50400,26500000,2011,26550400
apollo 18,W/Dim.,17700000,7900000,2011,25600000
biutiful,RAtt.,5100000,20000000,2011,25100000
your highness,Uni.,21600000,3300000,2011,24900000
our idiot brother,Wein.,24800000,0,2011,24800000
the rum diary,FD,13100000,10800000,2011,23900000
the women on the 6th floor,Strand,720000,22500000,2011,23220000
potiche,MBox,1600000,21600000,2011,23200000
warrior,LGF,13700000,9400000,2011,23100000
young adult,Par.,16300000,6600000,2011,22900000
sarah's key,Wein.,7700000,13400000,2011,21100000
the way back,NM,2700000,17600000,2011,20300000
a separation,SPC,7100000,12800000,2011,19900000
the guard,SPC,5400000,14200000,2011,19600000
margin call,RAtt.,5400000,14200000,2011,19600000
glee the 3d concert movie,Fox,11900000,6800000,2011,18700000
shame,FoxS,3900000,13800000,2011,17700000
13 assassins,Magn.,803000,16800000,2011,17603000
hoodwinked too! hood vs. evil,Wein.,10100000,6800000,2011,16900000
the heir apparent: largo winch,MBox,10400,16900000,2011,16910400
the last godfather,RAtt.,164000,16600000,2011,16764000
delhi belly,UTV,1500000,15200000,2011,16700000
melancholia,Magn.,3000000,12900000,2011,15900000
judy moody and the not bummer summer,Rela.,15000000,678000,2011,15678000
the conspirator,RAtt.,11500000,3900000,2011,15400000
anonymous,Sony,4500000,10900000,2011,15400000
ip man 2: legend of the grandmaster,Vari.,206000,14900000,2011,15106000
the housemaid,IFC,158000,14600000,2011,14758000
desert flower,NGE,44300,14600000,2011,14644300
pina,IFC,3500000,11100000,2011,14600000
beginners,Focus,5800000,8500000,2011,14300000
my afternoons with margueritte,Cohen,667000,13600000,2011,14267000
i saw the devil,Magn.,129000,12600000,2011,12729000
the hedgehog,NeoC,708000,12000000,2011,12708000
gainsbourg: a heroic life,MBox,233000,12000000,2011,12233000
the warring states,CL,69000,11800000,2011,11869000
what women want (wo zhi nu run xin),CL,124000,11700000,2011,11824000
snow flower and the secret fan,FoxS,1300000,10000000,2011,11300000
win win,FoxS,10200000,652000,2011,10852000
flying monsters,NGE,5700000,5100000,2011,10800000
city of life and death,Kino,123000,10600000,2011,10723000
le havre,Jan.,612000,9900000,2011,10512000
straw dogs (2011),SGem,10300000,0,2011,10300000
prom,BV,10100000,0,2011,10100000
in a better world,SPC,1000000,8600000,2011,9600000
trespass (2011),MNE,24100,9600000,2011,9624100
saving private perez,LGF,1400000,7900000,2011,9300000
point blank,Magn.,708000,8500000,2011,9208000
winter in wartime,SPC,543000,8700000,2011,9243000
barney's version (u.s. only),SPC,4400000,4000000,2011,8400000
outrage (2011),Magn.,44700,8400000,2011,8444700
senna,PDA,1600000,6600000,2011,8200000
last night,Trib.,99000,7600000,2011,7699000
the big year,Fox,7200000,244000,2011,7444000
the beaver,Sum.,971000,6300000,2011,7271000
take me home tonight,Rela.,6900000,0,2011,6900000
cedar rapids,FoxS,6900000,0,2011,6900000
the princess of montpensier,IFC,352000,6400000,2011,6752000
cave of forgotten dreams,IFC,5300000,1200000,2011,6500000
sex and zen 3d: extreme ecstasy,CL,153000,6200000,2011,6353000
we need to talk about kevin,Osci.,1700000,4300000,2011,6000000
attack the block,SGem,1000000,4800000,2011,5800000
even the rain,Vita.,518000,5300000,2011,5818000
young goethe in love,MBox,162000,5600000,2011,5762000
11-11-11,Rocket,32800,5700000,2011,5732800
